#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
3400,9876.923850845167,58111.803728567436,67988.7275794126,248.89138721989477
3500,10720.869163345167,58684.459037065506,69405.32820041067,251.3440554385007
3600,11325.947288345167,59075.2296779193,70401.17696626447,253.01771622076092
3700,11816.892600845167,59889.75571303326,71706.64831387842,256.5063106507867
3800,11885.189475845167,60585.8564101276,72471.04588597277,259.4876923499986
3900,12709.837913345167,60744.788529328536,73454.6264426737,260.1683946012398
4000,12141.939475845167,62007.458881834405,74149.39835767957,265.57637982063727
4100,12924.619163345167,62072.496371039655,74997.11553438482,265.8549337437817
4200,13284.884788345167,62545.88944205828,75830.77423040345,267.88246430704646
4300,13735.955100845167,62575.818834964186,76311.77393580935,268.0106511407196
4400,13863.205100845167,63126.88971940242,76990.09482024758,270.37087381639094
4500,14343.923850845167,63183.18755603151,77527.11140687668,270.6119960283522
4600,14470.244163345167,63659.50855045952,78129.75271380469,272.65206681360763
4700,15125.087913345167,63830.41854389338,78955.50645723855,273.3840699975767
4800,15261.572288345167,64141.75271444011,79403.32500278528,274.7175063844125
4900,15011.353538345167,64933.874754605815,79945.22829295098,278.11014507009446
5000,15774.306663345167,64876.91081206896,80651.21747541413,277.86616994335884
5100,15885.619163345167,65354.60950237233,81240.2286657175,279.912141365242
5200,15887.361350845167,65894.76667958312,81782.12803042828,282.2256209085845
5300,16189.650413345167,66488.89641342801,82678.54682677318,284.77026354841615
5400,16507.134788345167,66749.03900448303,83256.1737928282,285.88444769360444
5500,17052.759788345167,66502.58409197873,83555.3438803239,284.82888752984036
5600,16998.642600845167,66739.6458106807,83738.28841152586,285.8442168818608
5700,17724.509788345167,66287.12534164498,84011.63512999014,283.9060831455588
5800,17444.791038345167,66744.69485714659,84189.48589549176,285.865841820314
5900,17528.884788345167,67038.71397360251,84567.59876194768,287.1251182679302
6000,17490.166038345167,67734.67229158687,85224.83832993204,290.1058901610112
6100,18243.025413345167,67603.00402018637,85846.02943353154,289.5419582810994
6200,18133.025413345167,67857.96201020991,85990.98742355508,290.6339369110548
6300,18765.455100845167,67426.71966087702,86192.17476172218,288.7869368238648
6400,18512.494163345167,67861.90568481758,86374.39984816275,290.6508275697655
6500,18650.916038345167,68059.23442812846,86710.15046647363,291.4959815920087
6600,18142.009788345167,68692.1614596122,86834.17124795736,294.20679207744394
6700,18399.697288345167,68633.50174312014,87033.19903146531,293.9555539937006
6800,18528.978538345167,68680.98555066268,87209.96408900784,294.1589259417638
6900,19081.361350845167,68486.37795591727,87567.73930676244,293.32542653007886
7000,18848.744163345167,68652.29102199757,87501.03518534274,294.0360280004361
7100,18873.306663345167,68867.04575671908,87740.35242006424,294.95581710363683
7200,19360.119163345167,68502.51360095921,87862.63276430438,293.39453509013896
7300,19278.892600845167,68966.26925472077,88245.16185556594,295.3807888387736
7400,19469.814475845167,68764.48562826216,88234.30010410733,294.5165546645579
7500,18558.392600845167,69852.20777418607,88410.60037503124,299.17524113509523
7600,19209.345725845167,68930.38430822216,88139.73003406732,295.2270945195253
7700,18753.025413345167,69265.8802447198,88018.90565806496,296.6640151395005
7800,19068.353538345167,68868.6032044855,87936.95674283066,294.9624876130727
7900,19220.431663345167,68707.15705817752,87927.58872152268,294.2710178472471
8000,19444.439475845167,68705.13982915622,88149.57930500139,294.26237810631255
8100,19241.611350845167,69179.09035676759,88420.70170761275,296.29229624208034
8200,19152.103538345167,69447.37445944035,88599.47799778552,297.44135027583843
8300,19521.431663345167,69284.97036089096,88806.40202423613,296.7457776247647
8400,19377.962913345167,69545.78649174515,88923.74940509032,297.86284652389634
8500,19592.876975845167,69301.12185768178,88893.99883352694,296.81495407746473
8600,19187.119163345167,69736.52685607038,88923.64601941555,298.6797826853943
8700,19491.673850845167,69181.74751837132,88673.42136921649,296.303676798098
8800,19098.564475845167,69709.81542203203,88808.3798978772,298.56537828825157
8900,19852.447288345167,69128.29698029044,88980.74426863561,296.07474949388387
